Subject Area,Workflow Name,Property Type,Property Value
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.ErrorMsg_DESCRIPTION,Error message for this task's execution
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.ErrorMsg_ISNULL,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.ErrorMsg_ISPERSISTENT,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.ErrorMsg_NAME,$s_mp_Claims_Reports_Demo.ErrorMsg
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.ErrorMsg_USERDEFINED,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.SrcSuccessRows_DATATYPE,bigint
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.SrcSuccessRows_DEFAULTVALUE,
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.SrcSuccessRows_DESCRIPTION,Rows successfully read
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.SrcSuccessRows_ISNULL,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.SrcSuccessRows_ISPERSISTENT,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.SrcSuccessRows_NAME,$s_mp_Claims_Reports_Demo.SrcSuccessRows
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.SrcSuccessRows_USERDEFINED,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.SrcFailedRows_DATATYPE,bigint
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.SrcFailedRows_DEFAULTVALUE,
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.SrcFailedRows_DESCRIPTION,Rows failed to read
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.SrcFailedRows_ISNULL,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.SrcFailedRows_ISPERSISTENT,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.SrcFailedRows_NAME,$s_mp_Claims_Reports_Demo.SrcFailedRows
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.SrcFailedRows_USERDEFINED,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.TgtSuccessRows_DATATYPE,bigint
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.TgtSuccessRows_DEFAULTVALUE,
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.TgtSuccessRows_DESCRIPTION,Rows successfully loaded
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.TgtSuccessRows_ISNULL,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.TgtSuccessRows_ISPERSISTENT,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.TgtSuccessRows_NAME,$s_mp_Claims_Reports_Demo.TgtSuccessRows
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.TgtSuccessRows_USERDEFINED,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.TgtFailedRows_DATATYPE,bigint
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.TgtFailedRows_DEFAULTVALUE,
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.TgtFailedRows_DESCRIPTION,Rows failed to load
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.TgtFailedRows_ISNULL,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.TgtFailedRows_ISPERSISTENT,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.TgtFailedRows_NAME,$s_mp_Claims_Reports_Demo.TgtFailedRows
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.TgtFailedRows_USERDEFINED,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.TotalTransErrors_DATATYPE,integer
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.TotalTransErrors_DEFAULTVALUE,
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.TotalTransErrors_DESCRIPTION,Total number of transformation errors
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.TotalTransErrors_ISNULL,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.TotalTransErrors_ISPERSISTENT,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.TotalTransErrors_NAME,$s_mp_Claims_Reports_Demo.TotalTransErrors
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.TotalTransErrors_USERDEFINED,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.FirstErrorCode_DATATYPE,integer
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.FirstErrorCode_DEFAULTVALUE,
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.FirstErrorCode_DESCRIPTION,First error code
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.FirstErrorCode_ISNULL,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.FirstErrorCode_ISPERSISTENT,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.FirstErrorCode_NAME,$s_mp_Claims_Reports_Demo.FirstErrorCode
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.FirstErrorCode_USERDEFINED,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.FirstErrorMsg_DATATYPE,string
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.FirstErrorMsg_DEFAULTVALUE,
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.FirstErrorMsg_DESCRIPTION,First error message
