Subject Area,Parent Type,Parent Name,Workflow/Worklet,Workflow Name/Worklet Name,Mapping Name,Session Name,Source/Target Instances,Reader/Writer(Session),Session Connection Type = Connection Value,Database Type(Mapping),Source/Target Type,Source/Target Table Name(Original),Property Name,Value,Initial Value From Mapping Parameter
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,sq_Trigger_File_Src,File Reader,None =,Flat File,Source,Trigger_File_Src,Escape characters,,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,sq_Trigger_File_Src,File Reader,None =,Flat File,Source,Trigger_File_Src,Treat Consecutive Delimiters as one,NO,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,sq_Trigger_File_Src,File Reader,None =,Flat File,Source,Trigger_File_Src,File Type,Delimited,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,sq_Trigger_File_Src,File Reader,None =,Flat File,Source,Trigger_File_Src,Row Delimiter,\012 LF (\n),
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,sq_Trigger_File_Src,File Reader,None =,Flat File,Source,Trigger_File_Src,Code Page,US-ASCII,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,tgt_TRIGGER_ff,HDFS Connection,Application=$AppConnection_HDFS,Flat File,Target,tgt_TRIGGER_ff,Merge Type,No Merge,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,tgt_TRIGGER_ff,HDFS Connection,Application=$AppConnection_HDFS,Flat File,Target,tgt_TRIGGER_ff,Merge File Path,,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,tgt_TRIGGER_ff,HDFS Connection,Application=$AppConnection_HDFS,Flat File,Target,tgt_TRIGGER_ff,Generate And Load Hive Table,NO,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,tgt_TRIGGER_ff,HDFS Connection,Application=$AppConnection_HDFS,Flat File,Target,tgt_TRIGGER_ff,Header Options,No Header,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,tgt_TRIGGER_ff,HDFS Connection,Application=$AppConnection_HDFS,Flat File,Target,tgt_TRIGGER_ff,Auto generate partition file names,NO,
